Name,,Location,Cost
National Gallery Singapore,,1 St Andrew's Road,$0.00
Sultan Mosque,,3 Muscat Street,$0.00
Sri Mariamman Temple,,244 South Bridge Road,$0.00
Armenian Church,,60 Hill Street,$0.00
CHIJMES,,30 Victoria Street,$0.00
St Andrew's Cathedral,,11 St Andrew's Road,$0.00
Kreta Ayer Square,,Banda Street,$0.00
Albert Mall Trishaw Park,,Queen Street,$0.00
Chinatown Food Street,,Smith Street,$0.00
Chinatown Heritage Centre,,48 Pagoda Street,$0.00
Thian Hock Keng Temple,,158 Telok Ayer Street,$0.00
Eurasian Heritage Centre,,139 Ceylon Road,$0.00
Shophouses,,N/A,$0.00
Armenian Church,,11 Stamford Road,$0.00
Esplanade Theatre,,1 Esplanade Drive,$0.00
Gardens by the Bay,Cultural & Heritage,18 Marina Gardens Drive,$0.00
The Interlace,Cultural & Heritage,180-226 Depot Road,$0.00
PARKROYAL on Pickering,Cultural & Heritage,3 Upper Pickering Street,$0.00
Lasalle College of the Arts,Cultural & Heritage,1 McNally Street,$0.00
Kranji War Memorial,Cultural & Heritage,9 Woodlands Road,$0.00
Indian National Army Monument,Cultural & Heritage,Esplanade Park,$0.00
Reflections at Bukit Chandu,Cultural & Heritage,N/A,$0.00
The Cenotaph,Cultural & Heritage,"Esplanade Park, Connaught Drive",$0.00
Civilian War Memorial,Cultural & Heritage,Bras Basah Road & Beach Road intersection,$0.00
Sri Veeramakaliamman Temple,Cultural & Heritage,141 Serangoon Road,$0.00
Maghain Aboth Synagogue,Cultural & Heritage,24/26 Waterloo Street,$0.00
Old Supreme Court,Cultural & Heritage,1 St Andrew's Road,$0.00
SIT Flats,Cultural & Heritage,Seng Poh Road and Tiong Bahru Road,$0.00
Lau Pa Sat,Cultural & Heritage,18 Raffles Quay,$0.00
Malay Heritage Centre,Cultural & Heritage,85 Sultan Gate,$0.00
Peranakan Museum,Cultural & Heritage,39 Armenian Street,$0.00
Raffles Singapore,Cultural & Heritage,1 Beach Road,$0.00
Gillman Barracks,Cultural & Heritage,9 Lock Road,$0.00
ArtScience Museum,Cultural & Heritage,6 Bayfront Ave,$0.00
Singapore Botanic Gardens,Cultural & Heritage,1 Cluny Road,$0.00
Singapore Zoo,Cultural & Heritage,80 Mandai Lake Road,$0.00
River Safari,Cultural & Heritage,80 Mandai Lake Road,$0.00
Chek Jawa,Cultural & Heritage,"Chek Jawa, Pulau Ubin",$0.00
Merlion Park,Cultural & Heritage,"One Fullerton, Singapore",$0.00